"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","UI/TC03 Verify Creating a Main Category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC03 Verify Creating a Main Category (example #1)"
"","2442","UI/TC36 Verify system behavior when creating a duplicate sub-category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC36 Verify system behavior when creating a duplicate sub-category (example #1)"
"","1586","UI/TC12 Verify Search by Name (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC12 Verify Search by Name (example #1)"
"","378","API/TC19 Verify Create Validation: Empty Name","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC19 Verify Create Validation: Empty Name"
"","319","API/TC15 Verify Search By Name (Admin)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC15 Verify Search By Name (Admin)"
"","286","API/TC16 Verify Search No Results (Admin)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC16 Verify Search No Results (Admin)"
"","855","UI/TC38 Verify ""Cancel"" button navigates back to Categories page","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC38 Verify ""Cancel"" button navigates back to Categories page"
"","1073","UI/TC27 Verify ""Edit"" button is visible and functional for Admin User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC27 Verify ""Edit"" button is visible and functional for Admin User"
"","1065","UI/TC112 Verify Plant List page visibility","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC112 Verify Plant List page visibility"
"","369","API/TC24 Verify Sorting by Name (ASC)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC24 Verify Sorting by Name (ASC)"
"","1107","UI/TC31 Verify system behavior when creating a category name with 2 letters and a space (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC31 Verify system behavior when creating a category name with 2 letters and a space (example #1)"
"","420","API/TC23 Verify Filter by Parent ID","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC23 Verify Filter by Parent ID"
"","1491","UI/TC18 Verify ""Search by Name"" functionality in Category page for an existing category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC18 Verify ""Search by Name"" functionality in Category page for an existing category (example #1)"
"","834","UI/TC09 Verify Row Count Per Page","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC09 Verify Row Count Per Page"
"","922","API/TC26 Verify Combined Search & Sort","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC26 Verify Combined Search & Sort"
"","1311","UI/TC34 Verify successful creation of a new category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC34 Verify successful creation of a new category (example #1)"
"","803","UI/TC113 Verify Add Plant button visibility","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC113 Verify Add Plant button visibility"
"","822","UI/TC11 Verify ""Add Category"" Button Hidden","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC11 Verify ""Add Category"" Button Hidden"
"","1298","UI/TC30 Verify successful creation of a new category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC30 Verify successful creation of a new category (example #1)"
"","870","UI/TC15 Verify Delete Action Hidden for Non admin User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC15 Verify Delete Action Hidden for Non admin User"
"","299","API/TC38 Verify Admin User cannot update a category with name too short (2 characters)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC38 Verify Admin User cannot update a category with name too short (2 characters)"
"","1291","UI/TC08 Verify ""Previous"" Button Navigation","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC08 Verify ""Previous"" Button Navigation"
"","842","UI/TC26 Verify ""Delete"" button is hidden or disabled for regular User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC26 Verify ""Delete"" button is hidden or disabled for regular User"
"","295","API/TC30 Verify Invalid Sort Field","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC30 Verify Invalid Sort Field"
"","1887","UI/TC115 Verify Creating a New Plant","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC115 Verify Creating a New Plant"
"","1340","UI/TC13 Verify Filter by Parent","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC13 Verify Filter by Parent"
"","1154","UI/TC07 Verify ""Next"" Button Navigation","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC07 Verify ""Next"" Button Navigation"
"","864","UI/TC14 Verify Edit Action Hidden for Non admin User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC14 Verify Edit Action Hidden for Non admin User"
"","271","API/TC40 Verify Admin User cannot update a category with name 3 spaces","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC40 Verify Admin User cannot update a category with name 3 spaces"
"","1091","UI/TC32 Verify system behavior when creating a category name with only 2 letters (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC32 Verify system behavior when creating a category name with only 2 letters (example #1)"
"","1346","API/TC16 Verify Create Main Category API","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC16 Verify Create Main Category API"
"","281","API/TC21 Verify Plant Summary Data Retrieval","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC21 Verify Plant Summary Data Retrieval"
"","808","UI/TC119 Verify Action Buttons are Hidden for Non-Admin","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC119 Verify Action Buttons are Hidden for Non-Admin"
"","1367","UI/TC19 Verify ""Search by Name"" functionality in Category page with space in search field (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC19 Verify ""Search by Name"" functionality in Category page with space in search field (example #1)"
"","1301","UI/TC37 Verify system behavior when category name exceeds 10 characters (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC37 Verify system behavior when category name exceeds 10 characters (example #1)"
"","210","API/TC28 Verify Unauthorized Access","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC28 Verify Unauthorized Access"
"","352","API/TC19 Verify Edit Plant Details","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC19 Verify Edit Plant Details"
"","364","API/TC18 Verify Filter by Non-Existing Category ID (Admin)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC18 Verify Filter by Non-Existing Category ID (Admin)"
"","280","API/TC37 Verify Admin User cannot update a category with a different number format in the parent ID","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC37 Verify Admin User cannot update a category with a different number format in the parent ID"
"","1291","UI/TC21 Verify ""Search by Name"" functionality in Category page for a special character input (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC21 Verify ""Search by Name"" functionality in Category page for a special character input (example #1)"
"","496","API/TC20 Verify Create Validation: Name Too Long","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC20 Verify Create Validation: Name Too Long"
"","1352","UI/TC10 Verify Last Page State","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC10 Verify Last Page State"
"","335","API/TC18 Verify Get Category By ID","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC18 Verify Get Category By ID"
"","286","API/TC36 Verify Admin User cannot update a category with invalid special characters in name","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC36 Verify Admin User cannot update a category with invalid special characters in name"
"","500","API/TC20 Verify Edit Plant Validation (Invalid Input)","","2026-02-07","failed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC20 Verify Edit Plant Validation (Invalid Input)"
"","1044","UI/TC28 Verify ""Delete"" button is visible and functional for Admin User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC28 Verify ""Delete"" button is visible and functional for Admin User"
"","1174","UI/TC118 Verify Plant Search by Name","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC118 Verify Plant Search by Name"
"","1819","UI/TC04 Verify Creating a Sub Category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC04 Verify Creating a Sub Category (example #1)"
"","522","API/TC17 Verify Create Sub Category API","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC17 Verify Create Sub Category API"
"","788","UI/TC39 Verify Category sidebar item is highlighted when active","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC39 Verify Category sidebar item is highlighted when active"
"","1383","UI/TC117 Verify Filter Plant by Category","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC117 Verify Filter Plant by Category"
"","318","API/TC14 Verify Plant List Pagination (Non-Admin User)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC14 Verify Plant List Pagination (Non-Admin User)"
"","1216","UI/TC16 Verify ""Sorting by name"" in Category page","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC16 Verify ""Sorting by name"" in Category page"
"","1255","UI/TC17 Verify ""Sorting by id"" in Category page as User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC17 Verify ""Sorting by id"" in Category page as User"
"","301","API/TC13 Verify Plant Details Retrieval by ID","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC13 Verify Plant Details Retrieval by ID"
"","1793","UI/TC22 Verify ""Search by Name"" within a specific ""Parent Category"" (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC22 Verify ""Search by Name"" within a specific ""Parent Category"" (example #1)"
"","894","UI/TC122 Verify Navigation Menu Highlights Active Page","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC122 Verify Navigation Menu Highlights Active Page"
"","825","UI/TC25 Verify ""Edit"" button is hidden for regular User","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC25 Verify ""Edit"" button is hidden for regular User"
"","1634","UI/TC40 Cross-verify Main Category count between Dashboard and Pagination","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC40 Cross-verify Main Category count between Dashboard and Pagination"
"","301","API/TC27 Verify Invalid Page Index","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC27 Verify Invalid Page Index"
"","327","API/TC41 Verify admin can delete category information of a main category","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC41 Verify admin can delete category information of a main category"
"","2889","UI/TC05 Verify Pagination Functionality","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC05 Verify Pagination Functionality"
"","927","UI/TC114 Verify ""Add Plant"" Page Navigation","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC114 Verify ""Add Plant"" Page Navigation"
"","948","UI/TC116 Verify Plant List Pagination","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC116 Verify Plant List Pagination"
"","1137","UI/TC33 Verify system behavior when creating a category with only special characters (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC33 Verify system behavior when creating a category with only special characters (example #1)"
"","301","API/TC31 Verify Update Category fails without ID and Request Body","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC31 Verify Update Category fails without ID and Request Body"
"","1056","UI/TC02 Verify ""Add Category"" Page Navigation","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC02 Verify ""Add Category"" Page Navigation"
"","308","API/TC12 Verify Plant List Retrieval (Non-Admin User)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC12 Verify Plant List Retrieval (Non-Admin User)"
"","1760","UI/TC01 Verify Add Category button visibility","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC01 Verify Add Category button visibility"
"","314","API/TC29 Verify Empty Search Result","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC29 Verify Empty Search Result"
"","407","API/TC25 Verify Sorting by Name (DESC)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC25 Verify Sorting by Name (DESC)"
"","305","API/TC33 Verify Regular User can update a category with valid ID and Request Body but empty name","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC33 Verify Regular User can update a category with valid ID and Request Body but empty name"
"","335","API/TC32 Verify Regular User can update a category with valid ID and Request Body","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC32 Verify Regular User can update a category with valid ID and Request Body"
"","1227","UI/TC120 Verify No Plants Found Message","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC120 Verify No Plants Found Message"
"","1721","UI/TC23 Verify empty search returns all children of selected Parent Category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC23 Verify empty search returns all children of selected Parent Category (example #1)"
"","1302","UI/TC20 Verify ""Search by Name"" functionality in Category page for an unregistered category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC20 Verify ""Search by Name"" functionality in Category page for an unregistered category (example #1)"
"","300","API/TC17 Verify Filter by Category ID (Admin)","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","API/TC17 Verify Filter by Category ID (Admin)"
"","399","API/TC22 Verify Search by Name","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC22 Verify Search by Name"
"","299","API/TC34 Verify Admin User can update a category without valid ID and Request Body","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC34 Verify Admin User can update a category without valid ID and Request Body"
"","318","API/TC35 Verify Admin User can update a category with a valid ID and Request Body","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC35 Verify Admin User can update a category with a valid ID and Request Body"
"","1783","UI/TC24 Verify ""Reset"" button clears search and filters (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC24 Verify ""Reset"" button clears search and filters (example #1)"
"","2515","UI/TC35 Verify system behavior when creating a duplicate sub-category (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC35 Verify system behavior when creating a duplicate sub-category (example #1)"
"","1139","UI/TC121 Verify Low Stock Badge Visibility","","2026-02-07","passed","2026-02-07","","Plant Management Module","Plant Management Module","UI/TC121 Verify Low Stock Badge Visibility"
"","938","API/TC21 Verify Basic Pagination","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC21 Verify Basic Pagination"
"","1174","UI/TC06 Verify Default Pagination State","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC06 Verify Default Pagination State"
"","1025","UI/TC29 Verify system behavior when creating a category with an empty name (example #1)","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","UI/TC29 Verify system behavior when creating a category with an empty name (example #1)"
"","285","API/TC39 Verify Admin User cannot update a category with name (2 characters) + a space","","2026-02-07","passed","2026-02-07","","Category Management Module","Category Management Module","API/TC39 Verify Admin User cannot update a category with name (2 characters) + a space"
